Temp pH Cond Ca Mg Na K AlkAcid SO4_IC Cl NO2NO3N Tot.N_ps TotP AbsF420nm TOC Si
7.8 6.68 7.15 0.293 0.123 0.231 0.025 0.178 0.196 0.187 17 574 9 0.115 9.1 0.8
6.4 6.88 8.33 0.484 0.114 0.223 0.015 0.351 0.138 0.151 41 709 15 0.26 13.7 0.91
7.4 7.24 15.4 0.82 0.153 0.577 0.021 0.586 0.182 0.535 74 651 13 0.372 19.7 1.45
7.5 6.49 7.39 0.277 0.133 0.247 0.024 0.134 0.213 0.213 18 598 11 0.13 10.8 0.63
8.3 7.19 10.3 0.643 0.117 0.236 0.017 0.57 0.163 0.205 8 784 7 0.077 10.8 0.13
7.6 6.32 5.97 0.236 0.091 0.19 0.04 0.107 0.158 0.14 19 652 15 0.216 12.1 0.86
8.2 7.02 8.2 0.476 0.093 0.214 0.02 0.37 0.145 0.199 16 710 10 0.21 11.5 0.5
8.2 6.94 9.74 0.45 0.09 0.346 0.024 0.239 0.173 0.334 46 834 15 0.258 14.5 0.22
8 6.91 6.86 0.315 0.102 0.2 0.017 0.169 0.214 0.178 29 296 5 0.025 6.1 0.23
7.9 6.91 9.15 0.496 0.118 0.259 0.015 0.336 0.192 0.241 22 792 7 0.077 8.6 0.94
8.3 7.27 10.7 0.555 0.102 0.32 0.044 0.398 0.192 0.298 26 863 17 0.14 12.9 0.16
7 6.76 11.3 0.526 0.134 0.449 0.029 0.291 0.11 0.425 37 679 18 0.602 21.5 2.95
8 6.96 11.5 0.557 0.105 0.409 0.022 0.425 0.144 0.404 22 1185 10 0.247 12.7 0.93
8.2 7.09 9 0.497 0.124 0.222 0.034 0.323 0.24 0.178 120 525 6 0.062 8.3 0.82
8.2 7.14 8.59 0.427 0.095 0.269 0.021 0.254 0.177 0.25 88 822 17 0.199 13.5 0.11
6.4 6.81 10.2 0.374 0.148 0.405 0.046 0.225 0.187 0.359 238 782 7 0.194 12.1 0.42
8.6 5.78 4.95 0.109 0.068 0.206 0.015 0.008 0.178 0.208 19 723 6 0.022 3.8 0.18
7.8 7.09 10.9 0.488 0.122 0.384 0.036 0.308 0.218 0.358 73 580 9 0.055 8.6 0.72
8.1 7.08 8.42 0.515 0.089 0.183 0.016 0.421 0.16 0.176 15 695 9 0.048 7.6 0.16
8.2 7.03 8.88 0.513 0.1 0.224 0.028 0.401 0.145 0.194 22 931 15 0.343 15.3 1.01
5.8 6.34 6.55 0.238 0.114 0.251 0.035 0.101 0.141 0.196 81 773 35 0.454 22 3.03
7.8 6.71 7.4 0.29 0.11 0.223 0.048 0.165 0.194 0.222 29 923 16 0.187 10.1 0.54
7.5 6.76 8.74 0.465 0.119 0.224 0.029 0.368 0.162 0.217 39 437 19 0.19 11.2 0.28
7.6 6.87 8.95 0.492 0.122 0.225 0.028 0.405 0.148 0.218 26 306 15 0.222 12.3 0.33
8.1 6.82 7.73 0.407 0.091 0.218 0.026 0.281 0.149 0.219 17 260 12 0.206 12.7 0.62
7.3 6.45 7.58 0.291 0.159 0.25 0.025 0.202 0.194 0.2 23 771 12 0.239 11.1 1.97
8.4 7.22 9.69 0.599 0.098 0.21 0.021 0.516 0.17 0.197 34 277 8 0.074 7.6 0.46
8.1 7.04 8.48 0.467 0.118 0.205 0.02 0.374 0.226 0.144 19 449 7 0.043 5.1 0.96
6.9 6.89 9.1 0.422 0.135 0.297 0.036 0.246 0.202 0.262 117 615 12 0.17 12 0.82
6.2 5.5 6.44 0.253 0.11 0.248 0.023 0.119 0.072 0.204 18 1001 39 0.823 30.2 4.25
6.2 7.08 8.3 0.464 0.12 0.216 0.03 0.318 0.14 0.195 82 620 24 0.248 15.2 0.32
7.3 6.75 8.57 0.507 0.125 0.222 0.049 0.272 0.188 0.177 120 922 17 0.531 23.3 2.58
7 6.83 7.55 0.31 0.133 0.258 0.026 0.211 0.154 0.208 46 629 15 0.185 13.7 0.94
6.9 6.98 8.74 0.427 0.131 0.268 0.032 0.226 0.21 0.245 48 652 24 0.213 14.9 0.22
7.3 6.42 4.63 0.14 0.089 0.181 0.018 0.066 0.141 0.132 28 462 11 0.164 8.8 0.84
0.5 8.14 79 5.349 0.923 2.007 0.147 5.345 0.852 2.278 2244 2288 132 0.079 7.5 3.91
8.4 7.86 37.5 2.756 0.346 0.412 0.089 2.954 0.217 0.608 97 6016 480 0.087 13 0.57
9.2 7.97 30.5 2.371 0.29 0.539 0.097 2.473 0.147 0.562 74 986 31 0.062 12.8 0.16
2.9 8.19 36.4 2.572 0.469 0.776 0.074 2.641 0.319 0.916 31 898 93 0.049 15.3 0.8
10.2 7.87 34.2 2.867 0.319 0.402 0.071 3.112 0.157 0.467 76 745 44 0.116 18.6 2.63
3.7 7.44 31.4 2.176 0.336 0.508 0.161 2.535 0.128 0.574 75 3949 260 0.066 27 0.22
2.7 7.75 27.9 1.949 0.29 0.672 0.079 1.902 0.265 0.676 31 1211 64 0.07 20 0.18
6.753 7.67 118 4.222 2.929 5.178 0.182 3.057 4.002 8.801 28 873 50 0.008 4.9 1.31
1.8 7.82 36.1 3.213 0.31 0.387 0.063 2.975 0.388 0.499 437 1175 47 0.048 6.4 2.13
8.5 6.64 10.5 0.504 0.176 0.335 0.042 0.135 0.281 0.397 90 1028 76 0.501 45.5 0.4
2.6 8.32 44.7 3.271 0.591 0.945 0.087 3.238 0.604 1.131 2 897 43 0.057 15.7 5.43
8.5 7.56 19.1 0.983 0.247 0.471 0.242 1.146 0.121 0.53 92 1093 114 0.129 16 0.05
10.5 8.39 33.5 2.605 0.386 0.505 0.078 2.667 0.447 0.513 7 564 139 0.059 12.1 3.75
10.3 7.84 33.1 2.653 0.298 0.47 0.051 2.939 0.096 0.597 9 850 80 0.044 14.6 8.2
3.2 8.01 31.4 2.849 0.201 0.31 0.04 2.422 0.513 0.381 115 587 39 0.034 6.7 0.17
8 7.64 45.5 3.521 0.319 0.794 0.129 3.276 0.505 0.84 519 1548 99 0.066 6.1 1.67
10.6 8.17 30.5 2.317 0.345 0.485 0.081 2.354 0.425 0.552 17 802 91 0.053 17.4 2.47
10.7 8.25 36 2.761 0.455 0.465 0.097 2.747 0.574 0.625 7 883 135 0.062 11.5 6.47
2.8 6.78 10.3 0.642 0.085 0.233 0.041 0.445 0.221 0.233 12 1243 33 0.141 14 0.14
7.8 7.77 26.7 1.932 0.255 0.529 0.159 2.167 0.092 0.504 13 900 31 0.065 9 0.12
5.9 7.99 25.7 1.967 0.249 0.482 0.068 1.816 0.331 0.576 195 756 81 0.046 8.7 1.02
3.9 8.11 26.4 2.021 0.255 0.497 0.068 1.941 0.295 0.601 83 1130 60 0.041 8.6 1.09
2.8 8.04 43 4.164 0.138 0.314 0.039 3.712 0.527 0.545 60 1063 65 0.042 9.7 6.63
1.2 6.93 22.1 0.663 0.272 1.102 0.072 0.429 0.354 1.207 506 769 37 0.368 14.9 3.84
2.8 7.09 10 0.555 0.134 0.257 0.027 0.377 0.228 0.251 105 499 24 0.161 11.1 0.62
8.6 7.12 14.3 0.67 0.237 0.432 0.038 0.637 0.227 0.437 171 1185 68 0.156 28.7 1.19
1.9 7.28 28.2 2.332 0.228 0.452 0.067 2.191 0.306 0.443 274 1167 95 0.164 15.8 2.85
7.58 7.2 10.3 0.524 0.168 0.27 0.024 0.391 0.231 0.283 27 355 23 0.083 8.9 0.49
8.5 7.35 12.6 0.721 0.186 0.311 0.029 0.68 0.178 0.296 103 939 68 0.117 11.8 0.18
7.4 7.55 14.7 0.841 0.167 0.387 0.048 0.618 0.328 0.448 255 453 12 0.052 7.5 1.58
7.417 6.63 6.41 0.232 0.111 0.258 0.016 0.115 0.109 0.262 64 687 31 0.362 13.9 0.3
4 6.57 13.8 0.65 0.233 0.356 0.086 0.619 0.229 0.37 542 807 29 0.141 8.5 2.66
6 8.1 43.2 3.509 0.341 0.608 0.097 2.495 1.259 0.924 22 335 23 0.023 6.5 6.86
5.2 8.16 33.5 2.77 0.28 0.505 0.079 2.383 0.582 0.673 64 507 31 0.024 7.4 3.12
8.8 6.01 4.68 0.118 0.072 0.2 0.031 0.056 0.039 0.244 16 515 38 0.314 10.1 0.58
7.9 8.03 31.6 2.629 0.22 0.481 0.084 2.152 0.607 0.667 48 388 32 0.015 5 1.33
9.5 7.49 45.1 0.485 0.234 1.08746 0.048 0.971 1.151 1.981 2886 3043 27 0.186 10.6 1.38
9.1 7.01 7.61 0.334 0.132 0.258 0.02 0.265 0.11 0.277 36 364 20 0.172 9.7 0.69
8.5 7.03 8.03 0.319 0.149 0.277 0.02 0.345 0.085 0.266 52 509 25 0.257 28.8 0.97
8.6 6.83 10.3 0.409 0.197 0.336 0.035 0.344 0.197 0.366 162 634 31 0.217 7.3 2.14
9.3 7.88 21.6 1.305 0.246 0.556 0.072 1.207 0.311 0.577 52 452 72 0.071 9.2 0.26
8.7 6.89 8.17 0.317 0.12 0.29 0.032 0.16 0.216 0.287 19 558 17 0.074 7.1 0.11
9.2 5.29 5.19 0.106 0.067 0.222 0.012 -0.002 0.202 0.223 23 199 5 0.007 1.6 0.72
3.6 5.6 6.73 0.185 0.103 0.253 0.024 0.012 0.227 0.288 94 318 12 0.042 5.1 0.21
10.1 6.8 7.98 0.323 0.116 0.255 0.025 0.17 0.246 0.251 20 250 7 0.021 4 0.6
7.1 7.17 14.6 0.619 0.228 0.467 0.066 0.474 0.296 0.54 71 638 33 0.133 9.5 0.71
9 6.12 9.3 0.265 0.121 0.385 0.028 0.063 0.269 0.405 94 711 18 0.283 12.1 3.09
9.1 6.28 9.32 0.348 0.128 0.384 0.031 0.094 0.235 0.389 85 664 23 0.474 18.2 2.78
8.6 6.09 6.9 0.19 0.094 0.256 0.024 0.034 0.24 0.275 21 781 17 0.235 7.8 0.69
2.9 7.1 11.2 0.409 0.179 0.41 0.051 0.278 0.239 0.434 70 423 18 0.053 10 0.76
3.5 6.76 10.6 0.337 0.151 0.46 0.043 0.223 0.161 0.542 235 604 30 0.226 9.7 4.08
9.4 7.21 10.1 0.352 0.155 0.37 0.04 0.225 0.225 0.443 12 328 26 0.048 7.7 0.58
3.4 7.23 9.99 0.621 0.115 0.264 0.02 0.443 0.147 0.316 129 783 20 0.262 13.8 3.38
3.5 6.08 6.94 0.26 0.121 0.265 0.027 0.069 0.147 0.307 243 703 36 0.576 18.4 5.25
3.3 5.97 7.07 0.283 0.12 0.266 0.026 0.076 0.144 0.303 244 886 32 0.693 20.4 5.22
3.1 6.8 9.95 0.502 0.123 0.292 0.035 0.31 0.255 0.29 122 472 9 0.13 10.4 1.42
2.6 6.06 7.55 0.247 0.133 0.273 0.043 0.178 0.134 0.298 64 431 28 0.38 12.2 4.16
2.7 6.33 7.98 0.411 0.11 0.262 0.019 0.203 0.14 0.264 261 524 26 0.627 22.6 2.67
6.6 6.84 8.46 0.328 0.12 0.302 0.035 0.147 0.225 0.329 197 542 11 0.116 9.7 3.35
7.7 6.95 10.7 0.369 0.175 0.439 0.033 0.214 0.184 0.428 331 638 29 0.29 11.4 2.35
8.4 6.85 8.57 0.363 0.125 0.308 0.023 0.303 0.107 0.337 112 373 28 0.45 12.1 3.53
9.4 6.63 6.61 0.176 0.112 0.265 0.028 0.101 0.185 0.246 14 344 15 0.04 6.2 0.11
7.5 5.32 1.94 0.025 0.02 0.08 0.006 0 0.035 0.085 35 401 9 0.035 3.1 0.19
9.3 5.99 7.01 0.195 0.117 0.253 0.02 0.017 0.301 0.233 23 376 16 0.063 4.9 2.38
8.9 6.39 7.12 0.301 0.119 0.271 0.023 0.154 0.14 0.247 19 473 17 0.418 15.8 2.02
3.4 5.82 5.92 0.2 0.105 0.225 0.019 0.038 0.112 0.25 57 586 13 0.839 23.1 3.05
5.7 7.03 8.32 0.303 0.145 0.314 0.027 0.195 0.161 0.331 298 587 12 0.099 6.7 1.73
3.3 6.47 7.17 0.245 0.13 0.278 0.026 0.21 0.13 0.257 52 519 23 0.381 11.5 3.74
2.7 7.09 6.55 0.304 0.083 0.224 0.017 0.222 0.086 0.254 76 348 11 0.083 7.7 2.04
9.5 6.8 7.96 0.3 0.119 0.277 0.026 0.163 0.191 0.301 24 457 20 0.117 9.5 1.44
4.6 7.04 8.92 0.436 0.125 0.288 0.027 0.244 0.174 0.325 35 493 22 0.28 13.4 3.86
3.5 7.06 7.22 0.271 0.123 0.278 0.021 0.182 0.14 0.289 36 841 16 0.137 8.3 1.22
9.2 6.97 8.97 0.441 0.128 0.282 0.029 0.283 0.149 0.295 68 611 30 0.518 14.3 2.18
6.952 6.67 7.51 0.288 0.126 0.27 0.034 0.142 0.151 0.277 262 748 23 0.387 12.4 2.1
5.1 6.51 7.05 0.269 0.118 0.268 0.027 0.164 0.111 0.26 196 387 25 0.463 12.7 2.87
2.9 6.74 11.4 0.362 0.143 0.501 0.054 0.18 0.175 0.544 570 1079 26 0.474 17.3 3.2
8.9 6.5 8.38 0.301 0.144 0.295 0.045 0.151 0.232 0.293 21 409 26 0.338 12 2.64
8.3 7.07 9.3 0.472 0.133 0.323 0.031 0.301 0.122 0.355 302 945 33 0.765 19.9 1.73
8.8 7.02 8.68 0.383 0.12 0.317 0.029 0.236 0.126 0.355 185 450 28 0.487 14.6 1.44
8.6 6.97 9.02 0.461 0.125 0.307 0.029 0.246 0.134 0.319 242 759 30 0.782 23.3 2.31
0.5 6.48 7.63 0.304 0.122 0.288 0.032 0.108 0.15 0.304 242 543 23 0.455 17.6 2.56
3.3 5.73 6.24 0.121 0.09 0.302 0.014 0.036 0.162 0.284 34 468 17 0.148 7.9 0.82
7.2 7.1 8.68 0.494 0.102 0.255 0.021 0.303 0.14 0.274 129 571 25 0.433 15.1 1.19
9.2 6.78 8.93 0.474 0.126 0.288 0.037 0.24 0.173 0.294 138 662 37 0.665 18.7 2.66
9.2 6.45 10.7 0.189 0.1 0.639 0.021 0.064 0.124 0.684 21 370 17 0.194 8 0.72
7.5 6.62 13.3 0.372 0.142 0.659 0.048 0.255 0.126 0.699 280 528 33 0.364 12.3 3.53
8.6 7.14 8.49 0.443 0.108 0.268 0.025 0.25 0.145 0.308 89 602 19 0.252 11.5 0.99
7.5 6.79 11.5 0.355 0.151 0.507 0.054 0.163 0.169 0.572 316 725 29 0.398 13.1 1.95
2.5 6.51 8.84 0.484 0.11 0.278 0.021 0.211 0.16 0.307 201 537 27 0.659 23.5 2.6
1.7 6.37 7.11 0.33 0.097 0.256 0.017 0.11 0.14 0.273 201 396 21 0.545 19.5 2.82
3.9 4.59 5.67 0.085 0.057 0.262 0.008 -0.078 0.029 0.352 1 412 89 0.707 26.9 5.17
9.1 6.96 5.88 0.32 0.075 0.183 0.015 0.206 0.082 0.171 29 525 20 0.44 12.8 2.27
1.7 6.46 6.8 0.235 0.113 0.252 0.024 0.1 0.158 0.267 82 397 22 0.216 11 2.26
8 6.76 7.95 0.34 0.124 0.283 0.027 0.153 0.143 0.31 244 595 26 0.578 35.9 2.06
8.6 6.8 7.42 0.288 0.118 0.278 0.03 0.167 0.141 0.28 177 481 21 0.276 29.6 1.23
8.7 7.47 17.4 0.654 0.47 0.428 0.134 0.844 0.293 0.512 185 599 15 0.033 4.7 0.35
8.6 7.63 13.3 0.814 0.109 0.353 0.034 0.715 0.12 0.397 81 218 13 0.127 25.3 1.13
7.7 7.17 8.34 0.542 0.096 0.198 0.018 0.49 0.064 0.194 66 393 20 0.399 30.7 1.22
8.4 7.38 10.8 0.631 0.097 0.335 0.011 0.457 0.145 0.359 107 380 12 0.359 31.2 1.18
8.8 6.89 7.34 0.187 0.148 0.304 0.012 0.169 0.147 0.318 20 201 9 0.078 21 1.62
8.6 7.19 7.74 0.402 0.077 0.24 0.011 0.289 0.107 0.27 158 606 7 0.176 26.4 1.11
8.6 6.88 6.83 0.346 0.091 0.22 0.015 0.215 0.091 0.244 171 454 18 0.425 23 1.26
7.8 6.41 5.34 0.253 0.06 0.205 0.009 0.098 0.071 0.216 70 369 17 0.496 35.5 1.11
7.9 6.54 5.39 0.263 0.053 0.21 0.009 0.121 0.056 0.222 32 235 13 0.454 26 0.96
7.8 5.63 4.67 0.137 0.072 0.193 0.018 0.012 0.076 0.216 163 566 25 0.54 19.2 0.46
7.2 6.82 6.23 0.402 0.065 0.197 0.009 0.22 0.068 0.202 97 418 17 0.61 29.5 1.12
7.7 6.91 6.07 0.217 0.128 0.197 0.02 0.249 0.07 0.199 30 215 26 0.263 14.3 3.56
7.8 4.57 5.17 0.063 0.067 0.224 0.009 -0.064 0.061 0.243 23 274 19 0.572 28.9 1.33
8.8 5.16 6.8 0.091 0.094 0.351 0.013 -0.01 0.11 0.413 81 196 14 0.149 18.4 0.71
8.1 6.66 5.7 0.184 0.108 0.21 0.023 0.152 0.084 0.225 38 266 20 0.342 17.5 1.6
8.3 6.98 6.58 0.379 0.075 0.191 0.009 0.267 0.071 0.216 79 1178 11 0.337 20.6 1.13
7.9 6.43 6.28 0.238 0.084 0.256 0.012 0.071 0.087 0.292 147 512 16 0.501 19.2 0.45
7.6 4.96 4.56 0.09 0.065 0.197 0.011 -0.028 0.063 0.214 125 622 16 0.656 20.2 0.43
7.9 5.96 4.15 0.094 0.066 0.186 0.011 0.036 0.05 0.204 38 264 19 0.38 21.5 1.58
9.2 6.78 7.4 0.246 0.109 0.315 0.018 0.153 0.104 0.338 235 520 16 0.241 21.3 1.9
7.9 6.49 5.75 0.193 0.082 0.216 0.015 0.063 0.12 0.258 102 476 12 0.228 11.7 0.43
8.2 6.15 4.31 0.145 0.058 0.176 0.01 0.042 0.059 0.231 47 245 17 0.271 18.5 0.55
7.9 4.39 4.95 0.062 0.056 0.179 0.007 -0.108 0.029 0.189 31 632 22 1.067 39.2 0.96
9 7.09 8.79 0.315 0.107 0.369 0.015 0.233 0.131 0.408 38 206 20 0.072 15.9 1.27
7.3 5.95 6.98 0.137 0.099 0.336 0.025 0.02 0.128 0.366 102 509 28 0.307 15.3 0.77
9.2 7.06 7.87 0.297 0.106 0.31 0.012 0.223 0.118 0.345 90 171 13 0.045 16.1 0.31
9.5 6.67 7.03 0.189 0.102 0.312 0.01 0.118 0.138 0.342 84 177 11 0.042 14.3 0.38
8.2 7 7.09 0.303 0.087 0.268 0.016 0.185 0.098 0.293 87 257 12 0.32 19.5 1.78
8.1 7.31 8.5 0.563 0.081 0.188 0.015 0.493 0.075 0.201 104 328 24 0.238 19.5 0.83
9.3 5.45 6.2 0.084 0.096 0.319 0.012 0.002 0.12 0.361 186 219 8 0.061 14.5 0.92
8.5 5.03 4.77 0.047 0.06 0.243 0.012 -0.014 0.057 0.282 33 198 20 0.329 21.7 1.18
7.6 7.15 7.72 0.54 0.07 0.201 0.013 0.377 0.07 0.204 107 485 15 0.652 21.6 0.76
8 5.52 5.17 0.14 0.09 0.22 0.022 0.006 0.089 0.231 159 536 36 0.623 30.4 1.7
8.6 7.15 10.1 0.317 0.22 0.366 0.034 0.311 0.179 0.369 404 654 18 0.093 16.9 1.18
7.9 4.67 4.7 0.046 0.056 0.205 0.015 -0.044 0.069 0.244 67 397 28 0.722 26.2 1.53
9.7 7.07 9.15 0.275 0.189 0.344 0.027 0.261 0.179 0.347 182 205 25 0.078 16.6 0.98
7.7 6.91 7.25 0.478 0.069 0.192 0.019 0.27 0.075 0.231 110 551 14 0.689 23.2 0.67
7.8 5.73 5.36 0.141 0.085 0.243 0.019 0.02 0.075 0.261 118 466 25 0.601 28.9 1.25
9.4 6.87 7.67 0.239 0.114 0.312 0.018 0.168 0.152 0.327 110 207 9 0.038 15.3 0.5
9.7 6.24 6.93 0.111 0.112 0.355 0.01 0.032 0.148 0.397 39 172 8 0.053 14.4 0.64
8 5.23 4.82 0.097 0.079 0.212 0.016 -0.008 0.078 0.238 75 373 26 0.435 25.7 1.56
8.8 6.95 7.95 0.388 0.104 0.276 0.012 0.29 0.091 0.306 83 193 11 0.244 21.6 1.35
8.4 6.82 8.41 0.404 0.114 0.265 0.013 0.37 0.111 0.275 85 175 11 0.099 16.9 1.46
8.5 6.99 7.45 0.461 0.069 0.201 0.019 0.363 0.071 0.223 69 224 18 0.29 24.1 1.17
9.6 7.33 14.9 0.556 0.309 0.472 0.099 0.655 0.251 0.488 105 281 11 0.032 14.7 2.22
8.8 6.73 7.69 0.296 0.087 0.3 0.018 0.193 0.115 0.352 66 193 10 0.09 16.6 1.39
9 7.07 7.39 0.364 0.077 0.213 0.023 0.277 0.116 0.254 89 193 8 0.046 16.1 0.54
8.8 5.76 5.01 0.163 0.067 0.202 0.021 0.024 0.076 0.233 112 441 19 0.313 25 1.12
8.6 6.54 5.64 0.245 0.064 0.198 0.024 0.113 0.079 0.245 157 338 13 0.235 23.2 0.94
8.4 6.84 7 0.415 0.077 0.207 0.02 0.289 0.067 0.232 77 432 16 0.366 26.5 1.25
8.4 6.28 4.7 0.19 0.051 0.177 0.012 0.082 0.061 0.207 48 198 12 0.265 22.6 0.56
8.4 6.5 12.6 0.497 0.281 0.315 0.078 0.486 0.211 0.332 234 1684 45 0.274 21.7 2.8
8.9 6.68 4.91 0.23 0.051 0.172 0.013 0.128 0.061 0.201 68 205 12 0.199 21.2 0.52
8.3 4.75 4.7 0.072 0.05 0.201 0.015 -0.037 0.058 0.241 27 188 17 0.38 24.8 1.13
10.2 7.12 9.47 0.336 0.192 0.309 0.033 0.341 0.199 0.307 185 205 12 0.022 15.2 0.11
8.3 4.21 5.68 0.038 0.043 0.183 0.008 -0.12 0.043 0.211 24 225 19 0.516 32.7 0.82
8.6 7.05 8.38 0.461 0.089 0.239 0.03 0.374 0.084 0.269 228 381 18 0.215 22 1.17
10.1 7.11 7.96 0.319 0.115 0.278 0.029 0.242 0.138 0.301 219 388 15 0.051 17.6 0.51
8.8 6.53 7.35 0.28 0.076 0.301 0.013 0.131 0.094 0.37 101 202 8 0.168 20.1 0.97
8.7 6.96 7.47 0.414 0.079 0.225 0.021 0.315 0.073 0.262 83 354 10 0.227 22.1 1.04
9.2 6.55 5.43 0.125 0.075 0.251 0.02 0.059 0.103 0.291 35 286 9 0.11 16.6 0.22
10.5 6.98 8.87 0.289 0.101 0.381 0.027 0.177 0.131 0.453 582 722 7 0.088 20.9 0.7
9.4 7.08 9.2 0.412 0.096 0.337 0.016 0.307 0.102 0.44 34 344 9 0.069 21.6 0.21
9.7 7.18 9.1 0.375 0.087 0.366 0.013 0.274 0.102 0.484 31 273 10 0.046 22.7 0.3
9 4.48 7 0.071 0.084 0.324 0.017 -0.07 0.069 0.424 29 381 12 0.371 31.4 0.89
9.2 5.32 5.92 0.079 0.078 0.306 0.019 0 0.091 0.403 112 361 9 0.089 20.1 0.26
9.1 6.81 8.07 0.353 0.076 0.315 0.021 0.242 0.076 0.389 133 374 13 0.214 26 0.76
8.8 5.46 5.43 0.136 0.09 0.243 0.024 0.003 0.097 0.243 158 623 30 0.496 25.5 1.36
8.3 6.86 8.96 0.643 0.085 0.207 0.022 0.485 0.083 0.223 75 420 16 0.375 29.8 1.45
8.4 6.66 5.88 0.337 0.088 0.189 0.015 0.21 0.043 0.188 121 743 18 0.718 26 2.2
8.7 6.68 5.79 0.254 0.08 0.185 0.018 0.16 0.095 0.196 140 617 13 0.227 16.2 1.08
9.2 7.55 12.3 0.886 0.068 0.248 0.012 0.818 0.104 0.276 91 193 8 0.02 14.7 0.3
8.5 6.99 6.14 0.372 0.051 0.173 0.008 0.295 0.048 0.202 34 333 13 0.155 20.6 0.39
8.3 4.92 4.22 0.095 0.063 0.179 0.011 -0.03 0.056 0.177 27 572 19 0.61 25.1 1.44
8.5 7.1 6.4 0.348 0.047 0.208 0.01 0.228 0.079 0.233 100 301 6 0.108 20.3 0.69
8.3 7.22 8.23 0.534 0.072 0.197 0.015 0.45 0.07 0.233 68 313 10 0.136 19.8 0.72
8.1 4.58 4.19 0.051 0.043 0.159 0.012 -0.054 0.046 0.179 17 349 21 0.502 22.1 0.97
8.4 7.08 6.71 0.412 0.06 0.192 0.012 0.308 0.057 0.215 34 319 12 0.278 22.8 1.08
9.2 7.02 7.88 0.385 0.079 0.264 0.017 0.282 0.105 0.299 124 312 8 0.076 17.1 0.83
8.2 4.14 5.95 0.061 0.052 0.161 0.005 -0.18 0.043 0.152 30 529 18 0.878 36.9 1.17
8.5 6.87 5.73 0.268 0.049 0.193 0.013 0.194 0.091 0.214 24 287 8 0.065 16.8 0.2
8.9 7.09 8.26 0.428 0.077 0.265 0.015 0.313 0.108 0.294 114 346 9 0.13 19.9 1.12
9.8 6.96 6.5 0.266 0.081 0.234 0.02 0.164 0.103 0.268 177 393 10 0.099 19.6 1.01
8.4 6.99 11.8 0.521 0.127 0.389 0.1 0.552 0.09 0.408 209 771 70 0.24 13.6 1.28
9.2 7.3 9.88 0.601 0.097 0.249 0.021 0.515 0.124 0.262 106 318 11 0.101 13.5 1.04
8.3 4.85 4.33 0.102 0.061 0.167 0.014 -0.037 0.072 0.181 48 820 18 0.538 24.1 1.59
8.3 4.68 4.23 0.067 0.042 0.175 0.008 -0.034 0.062 0.208 17 349 12 0.241 16.7 1.2
8.9 7.29 6.85 0.427 0.057 0.169 0.012 0.344 0.076 0.186 30 309 9 0.051 16.5 0.32
8.3 6.59 6.49 0.314 0.089 0.239 0.017 0.193 0.074 0.236 40 411 14 0.342 28.3 1.93
8.3 6.93 6.8 0.409 0.079 0.196 0.013 0.301 0.072 0.197 23 339 14 0.331 23.3 1.36
9.5 6.98 6.61 0.274 0.082 0.233 0.021 0.174 0.103 0.265 183 386 11 0.103 18.9 0.92
8.1 4.86 4.95 0.13 0.066 0.203 0.012 -0.044 0.062 0.208 45 527 23 0.666 38 1.41
8.5 4.8 4.9 0.07 0.054 0.229 0.01 -0.024 0.064 0.284 23 403 29 0.284 21.4 0.49
8.4 5.27 4.32 0.101 0.058 0.199 0.008 -0.007 0.057 0.218 32 439 18 0.452 25.2 1.04
9 5.45 6.43 0.124 0.099 0.293 0.042 0.009 0.1 0.388 260 574 21 0.205 27 0.88
9 7.38 9.47 0.62 0.083 0.241 0.016 0.506 0.095 0.255 45 381 10 0.214 23.2 0.69
8.6 7.18 11.3 0.688 0.167 0.271 0.037 0.495 0.205 0.28 246 667 34 0.348 18.9 2.58
8.5 7.23 8.76 0.553 0.096 0.218 0.02 0.438 0.099 0.221 136 489 15 0.289 25.4 1.47
8.9 7.12 5.56 0.259 0.073 0.182 0.013 0.224 0.091 0.187 9 198 13 0.038 9.9 1.26
9.5 7.56 12.7 0.824 0.087 0.312 0.022 0.801 0.074 0.39 24 362 10 0.054 23.8 0.15
8.6 7.19 8.23 0.488 0.084 0.203 0.016 0.409 0.107 0.224 28 335 10 0.069 18.9 0.48
8 4.38 4.68 0.043 0.041 0.156 0.005 -0.079 0.051 0.169 29 423 12 0.362 26.9 0.73
8.3 6.14 5.36 0.268 0.062 0.198 0.017 0.079 0.071 0.206 117 484 17 0.536 32.4 1.23
8.7 6.7 6.7 0.394 0.065 0.204 0.011 0.248 0.069 0.244 137 362 10 0.328 28.9 0.87
8.9 4.4 6.13 0.059 0.053 0.265 0.011 -0.07 0.074 0.349 33 338 9 0.191 26.8 0.69
9.6 7.29 12 0.503 0.124 0.478 0.021 0.391 0.087 0.599 43 417 8 0.105 24.8 0.38
8.7 7 8.27 0.524 0.064 0.234 0.011 0.375 0.065 0.289 56 365 10 0.352 30.5 0.93
9.1 6.59 7.59 0.375 0.061 0.316 0.019 0.177 0.076 0.371 74 458 13 0.43 35 0.87
8.3 7.89 18.5 1.384 0.156 0.334 0.044 1.165 0.308 0.339 112 435 20 0.079 13.2 0.6
9 7.2 11.2 0.409 0.133 0.33 0.163 0.385 0.25 0.354 127 732 10 0.108 24.7 0.52
8.5 4.89 5.42 0.086 0.068 0.258 0.019 -0.023 0.079 0.308 65 389 13 0.315 20.6 1.22
