Temp pH Cond Ca Mg Na K AlkAcid SO4_IC Cl NO2NO3N Tot.N_ps TotP AbsF420nm TOC Si
1.6 7.5 25.3 1.576 0.407 0.601 0.083 1.426 0.661 0.587 76 578 42 0.034 8 1.06
4.2 8 25.9 2.141 0.316 0.349 0.058 1.714 0.749 0.348 71 521 33 0.031 9.1 0.79
2 7.71 127 2.031 1.718 4.762 0.241 1.886 1.355 12.294 9 606 37 0.113 15.1 0.31
1.1 8.02 28 2.299 0.338 0.396 0.071 2.331 0.369 0.35 2 573 28 0.054 14.2 0.16
2.1 7.84 26.8 2.349 0.297 0.241 0.052 2.073 0.644 0.191 2 610 13 0.063 14.7 0.18
2 7.66 22.4 1.785 0.291 0.408 0.046 1.644 0.317 0.403 43 549 23 0.165 15.3 0.68
2.2 7.56 26.4 2.203 0.29 0.357 0.05 1.895 0.567 0.338 27 486 28 0.123 15.7 1.1
1.5 7.7 11.6 0.967 0.127 0.151 0.021 0.855 0.151 0.111 7 375 12 0.163 15.9 0.35
2.8 7.93 37.7 2.529 0.667 0.78 0.102 2.366 0.788 0.763 576 708 40 0.068 9.3 2.73
1.3 7.82 67.4 4.579 1.408 1.219 0.202 4.479 2.142 1.001 200 891 48 0.046 6.9 4.71
6.7 7.69 20 0.556 0.257 0.901 0.182 0.876 0.065 1.029 8 607 140 0.077 13.5 0.47
7.9 8.01 36 2.434 0.425 0.911 0.083 2.603 0.241 0.945 37 870 74 0.095 12.5 0.53
2.4 7.93 38.3 2.556 0.431 0.988 0.094 2.674 0.294 1.056 11 746 42 0.056 11.5 3.39
2.5 7.65 31.7 1.943 0.751 0.611 0.108 1.959 0.743 0.461 1282 1633 165 0.248 10.9 5.07
2.8 7.54 15.5 1.078 0.239 0.313 0.042 1.101 0.147 0.305 71 510 23 0.078 10.5 0.99
2.3 7.38 13.8 0.894 0.301 0.248 0.061 1.033 0.105 0.202 80 643 48 0.142 11.9 3.09
3.2 6.78 5.9 0.48 0.118 0.115 0.014 0.268 0.057 0.072 64 634 22 0.683 31.5 4.89
2.5 7.71 20.7 1.525 0.292 0.374 0.05 1.424 0.351 0.305 47 524 29 0.063 12.5 0.34
2.4 7.28 16.6 1.087 0.28 0.362 0.057 1.03 0.205 0.369 89 546 32 0.167 14.9 0.96
2.3 7.02 6.43 0.379 0.129 0.138 0.017 0.285 0.1 0.142 115 501 11 0.163 12.1 0.66
3.3 7.83 20.5 1.381 0.28 0.514 0.055 1.519 0.123 0.479 74 541 25 0.035 8 0.73
2.2 7.63 24.8 2.13 0.287 0.39 0.065 1.924 0.348 0.274 81 805 36 0.349 23.9 1.77
1.8 7.52 16.6 1.098 0.279 0.369 0.051 1.021 0.195 0.386 128 708 33 0.201 15.7 1.3
1.6 7.88 39 2.752 0.528 0.833 0.164 2.562 0.708 0.796 35 962 51 0.213 17.7 3.17
7.7 7.7 29.8 2.374 0.451 0.462 0.085 2.048 0.664 0.39 71 980 43 0.216 18.3 1.61
1.8 7.6 38.4 2.826 0.619 0.633 0.157 2.688 0.84 0.492 114 1045 34 0.181 20.8 0.55
2.6 7.6 28.4 2.213 0.417 0.508 0.089 1.944 0.584 0.395 226 1044 41 0.289 22.7 2.42
1.5 7.25 8.7 0.512 0.157 0.213 0.028 0.395 0.124 0.217 61 475 25 0.16 15.7 0.75
2 7.56 27.5 2.095 0.391 0.518 0.088 1.857 0.515 0.447 25 880 39 0.243 20.7 2.29
1.1 7.77 38.6 3.016 0.56 0.679 0.1 2.743 0.772 0.568 48 995 21 0.215 21.2 1.13
2.7 7.82 48.1 4.097 0.591 0.639 0.094 3.789 1.15 0.416 14 776 16 0.174 18.9 2.07
1 7.57 25 1.703 0.39 0.546 0.059 1.694 0.378 0.497 6 677 23 0.055 11.8 0.51
0.9 7.83 47.1 3.692 0.686 0.798 0.104 3.432 0.994 0.726 34 912 17 0.118 16.7 2.13
2.1 7.47 9.43 0.71 0.136 0.166 0.023 0.628 0.119 0.139 18 410 29 0.131 13.9 1.09
2.2 7.18 7.32 0.479 0.109 0.164 0.024 0.463 0.077 0.137 67 485 16 0.117 11.4 0.79
2.3 7.34 7.85 0.547 0.151 0.157 0.018 0.463 0.111 0.134 25 409 11 0.159 15.6 0.68
0.6 7.49 43.4 3.328 0.644 0.745 0.104 2.705 1.232 0.643 487 1015 35 0.15 17.1 2.16
1.7 7.69 24.4 2.1 0.249 0.27 0.037 1.729 0.568 0.233 19 553 20 0.125 16.7 1.03
1.2 7.21 36.9 2.748 0.533 0.661 0.085 2.384 0.913 0.599 117 687 31 0.119 15.6 0.89
1.3 7.78 18.1 1.503 0.213 0.264 0.028 1.261 0.326 0.221 30 555 16 0.113 15.3 0.52
3.9 8.01 49.3 3.621 0.852 0.689 0.122 2.658 1.902 0.751 141 469 14 0.022 4.8 1.34
1.4 7.72 19.6 1.71 0.191 0.246 0.035 1.522 0.277 0.228 34 454 23 0.143 18.5 3.35
1.5 7.42 10.6 0.97 0.124 0.162 0.013 0.684 0.114 0.096 218 849 17 0.486 30 1.31
0.8 7.56 16.4 1.391 0.249 0.187 0.032 1.135 0.361 0.142 58 648 25 0.306 21.9 2.08
1.3 7.35 28.6 2.217 0.488 0.412 0.057 1.8 0.726 0.339 1041 1494 64 0.349 19.1 3.38
0.8 7.34 25.6 1.974 0.345 0.444 0.059 1.835 0.425 0.477 18 458 15 0.154 15.2 2.46
0.8 8.01 38.6 3.492 0.4 0.448 0.082 3.164 0.645 0.44 18 695 16 0.203 20.7 1.41
3.2 7.02 11.5 0.903 0.172 0.142 0.014 0.846 0.171 0.102 1 446 14 0.124 14.2 1.99
