Sample,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35,Ch36,Ch37,Ch38,Ch39,Ch40,Ch41,Ch42,Ch43,Ch44,Ch45,Ch46,Ch47,Ch48,Ch49,Ch54,Ch55,Ch56,Ch57,Ch58,Ch59,Ch60,Ch61,Ch62,Ch63,Ch64,Ch65,Ch66,Ch67,Ch68,Ch69,Ch70,Ch71,Ch72,Ch73,Ch74,Ch75,Ch76,Ch77,Ch78,Ch79,Ch80,Ch81,Ch82,Ch83,Ch84,Ch85,Ch86,Ch87,Ch88,Ch89,Ch90,Ch91,Ch92,Ch93,Ch94,Ch95,Ch96,Ch97,Ch104,Ch105,Ch106,Ch107,Ch108,Ch109,Ch110,Ch111,Ch112,Ch113,Ch114,Ch115,Ch116,Ch117,Ch118,Ch119,Ch120,Ch121,Ch122,Ch123,Ch124,Ch125,Ch126,Ch127,Ch128,Ch129,Ch130,Ch131,Ch132,Ch146
Zinc,30.64,35.06,42.26,41.52,31.02,25.33,28.20,26.50,29.91,27.53,39.35,52.37,50.34,54.20,50.87,45.53,50.56,56.82,56.16,66.51,61.21,69.90,116.59,114.20,116.53,115.35,116.50,118.92,115.61,115.78,119.46,117.00,113.09,117.28,113.62,118.76,120.24,113.21,114.98,115.92,120.24,111.36,75.30,54.55,47.61,39.47,27.77,0.00,25.33,34.84,37.94,36.48,30.12,38.90,34.88,40.64,50.65,58.32,59.00,61.70,62.99,53.79,51.56,54.50,53.82,57.47,55.84,62.63,64.29,66.26,63.85,64.73,65.62,64.46,59.21,47.30,38.73,33.68,33.96,32.06,30.76,32.01,29.16,29.85,31.20,30.94,30.99,30.62,35.02,31.42,0.00,0.00,33.83,45.88,61.57,77.89,88.59,87.36,94.34,98.03,86.43,79.95,66.80,65.35,63.12,60.91,47.10,33.12,37.74,35.98,35.82,32.82,34.59,27.69,0.00,0.00,0.00,0.00,25.78,0.00,0.00,0.00
Zinc,27.93,33.72,38.27,41.97,33.22,27.16,27.00,28.25,28.60,33.59,44.10,56.38,56.89,59.38,55.26,51.08,56.91,55.97,60.34,67.56,76.26,82.22,119.06,120.67,120.87,126.15,125.57,122.56,121.69,122.42,125.42,121.02,123.75,123.80,121.45,119.40,120.58,122.92,122.30,119.44,124.55,117.07,85.66,67.31,50.93,34.03,27.88,25.00,0.00,33.05,36.10,34.43,34.10,32.95,35.80,39.03,46.03,58.62,69.78,72.65,71.44,67.20,62.03,63.30,69.39,67.28,70.72,73.60,68.06,73.31,70.70,70.70,72.35,60.46,53.23,42.18,33.56,27.25,27.17,26.50,27.50,25.50,27.43,26.00,26.00,29.50,28.00,0.00,30.00,27.33,0.00,0.00,0.00,38.77,61.29,72.54,78.59,79.85,82.13,81.97,81.56,80.43,78.18,72.90,72.90,72.10,49.16,39.36,42.67,42.37,39.81,40.03,39.81,34.54,28.81,26.88,0.00,29.81,26.63,28.00,0.00,0.00
Rhodamine,0.00,25.00,26.87,28.46,0.00,0.00,0.00,0.00,0.00,0.00,29.39,32.09,34.50,35.99,35.09,30.93,34.71,33.38,37.42,43.78,48.41,53.91,77.63,77.64,72.76,77.07,78.58,80.06,76.93,76.25,74.57,76.33,73.58,71.93,73.08,75.50,79.62,77.31,74.94,76.17,71.93,74.71,52.15,38.73,32.28,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,27.88,38.47,47.15,51.02,48.65,44.70,38.76,43.35,42.75,40.05,45.44,46.83,46.30,48.52,51.25,51.13,53.98,45.98,39.39,34.26,31.32,26.00,25.11,25.50,26.56,26.97,0.00,27.00,0.00,25.00,0.00,25.50,27.33,0.00,0.00,0.00,0.00,29.32,43.55,63.87,64.13,61.13,60.71,65.21,59.77,61.94,63.40,57.24,60.71,52.92,31.40,29.12,27.75,27.25,28.71,33.67,31.21,30.78,33.28,32.64,32.40,36.13,32.65,29.92,26.69,0.00
Rhodamine,0.00,0.00,25.94,29.05,0.00,0.00,0.00,0.00,0.00,0.00,32.58,33.00,38.13,33.25,33.82,37.22,37.88,37.99,43.51,44.68,52.06,63.20,85.08,85.95,83.22,84.59,80.14,82.69,78.96,76.67,75.14,76.52,78.83,77.75,74.53,79.01,74.56,76.82,74.61,75.03,73.04,75.59,52.40,40.81,18.55,21.00,0.00,0.00,0.00,0.00,26.48,0.00,0.00,0.00,0.00,26.94,29.27,41.60,50.50,57.73,52.28,49.36,49.00,48.31,48.84,49.22,49.03,53.16,56.17,54.38,54.86,55.63,53.57,48.05,41.41,34.02,30.13,28.59,27.76,27.24,27.00,0.00,27.25,0.00,25.00,0.00,25.00,28.00,25.00,0.00,0.00,0.00,0.00,32.41,47.62,54.81,57.58,60.32,59.59,61.53,62.28,59.74,63.56,58.60,63.97,55.47,39.49,30.19,33.71,30.97,34.45,28.52,28.94,29.26,29.16,30.00,31.88,28.90,27.88,29.44,0.00,0.00
Rhodamine,0.00,25.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.65,34.48,31.24,29.54,32.63,34.25,32.09,37.72,40.37,46.77,53.35,87.52,84.96,87.50,87.12,84.06,80.58,80.01,82.56,78.50,78.69,71.93,81.45,78.25,79.70,81.08,80.02,79.70,81.63,77.90,76.89,54.03,43.03,32.77,23.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.77,35.22,48.09,52.19,49.85,42.53,44.16,42.79,40.87,42.11,43.83,48.32,48.26,53.16,50.98,49.06,51.40,46.36,38.43,32.72,29.22,26.50,0.00,0.00,25.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.14,40.85,53.09,56.86,58.31,57.23,58.41,60.84,57.76,60.62,55.00,58.10,49.94,31.60,27.76,26.00,27.00,29.55,0.00,0.00,0.00,25.00,27.56,0.00,27.22,0.00,0.00,0.00,0.00
Rhodamine,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.24,32.32,31.58,32.02,30.93,31.02,33.14,33.61,41.56,43.18,51.96,77.61,76.25,77.71,78.36,78.57,71.98,72.52,75.20,70.17,69.71,64.73,67.36,66.69,67.41,68.37,76.19,67.06,75.44,72.88,68.39,54.82,37.68,28.61,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.05,34.83,48.89,49.05,48.02,45.27,41.83,41.50,43.47,41.65,45.72,41.78,44.86,46.04,45.61,45.62,45.61,36.19,31.98,26.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.52,41.94,50.83,56.66,62.39,57.81,55.21,59.15,54.88,53.14,53.31,53.28,50.41,31.77,26.00,0.00,26.02,0.00,27.22,25.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rhodamine,0.00,0.00,31.05,28.74,0.00,0.00,0.00,0.00,0.00,26.25,31.11,41.74,38.22,39.90,39.94,38.47,38.74,41.90,42.58,45.09,52.18,56.37,80.24,73.38,77.34,81.26,71.28,76.99,77.72,70.08,75.87,74.47,74.43,71.44,75.11,72.42,73.73,70.59,74.20,69.67,76.14,73.95,54.64,40.31,30.90,0.00,0.00,0.00,0.00,25.00,27.74,24.58,0.00,0.00,0.00,26.00,34.17,41.53,57.42,56.19,56.48,48.83,47.83,50.57,48.68,48.63,51.41,53.31,55.75,57.80,58.36,60.82,61.46,52.19,44.12,39.81,29.82,26.78,27.50,25.00,26.88,24.89,0.00,25.50,25.00,26.69,25.00,27.14,0.00,0.00,0.00,0.00,0.00,34.44,47.02,59.65,60.59,57.75,58.19,57.49,60.20,59.88,55.20,61.92,58.09,56.81,37.41,31.02,29.31,28.90,28.68,27.66,34.74,33.28,32.22,31.46,33.46,35.75,29.09,27.11,25.00,0.00
Rhodamine,0.00,26.27,27.83,29.34,25.56,0.00,0.00,0.00,26.89,28.62,31.85,35.45,37.02,36.11,30.17,33.71,33.71,34.72,41.12,44.41,46.31,55.16,81.81,81.75,81.26,81.08,78.54,72.79,76.73,71.72,73.52,76.76,70.22,72.75,68.50,72.43,73.93,73.90,76.98,72.62,74.56,76.70,58.16,41.52,28.51,26.09,0.00,0.00,0.00,25.00,28.06,28.01,28.00,24.92,0.00,29.02,35.89,44.43,49.84,54.87,51.29,44.47,44.63,44.20,43.50,46.31,45.26,47.53,47.76,53.86,53.06,55.98,53.05,47.24,39.07,36.78,30.95,28.01,28.91,0.00,26.25,26.86,25.00,27.50,28.90,25.56,26.11,30.46,29.40,0.00,0.00,0.00,26.00,35.97,59.59,69.01,70.61,74.56,71.43,72.99,70.31,68.95,63.72,58.27,64.49,59.53,39.65,31.66,33.95,26.76,30.00,28.00,29.96,29.08,29.12,27.15,29.87,25.00,25.50,0.00,0.00,0.00
Manganese,24.55,28.25,32.53,30.43,26.00,0.00,0.00,0.00,0.00,26.28,33.70,51.40,51.05,51.73,45.28,44.41,43.90,47.90,53.47,63.88,69.40,80.93,109.92,111.67,107.69,108.75,102.69,106.82,104.44,99.96,100.92,103.65,102.21,96.40,99.03,101.32,99.48,102.20,106.41,103.47,105.55,100.47,69.11,52.08,35.87,20.82,0.00,0.00,0.00,27.38,27.23,27.00,26.50,0.00,27.56,27.00,36.82,52.32,73.19,75.33,74.04,67.94,65.59,63.21,68.95,69.29,70.60,72.76,78.19,78.25,78.26,78.82,78.85,63.69,53.35,39.98,29.15,30.48,28.43,31.88,26.38,30.33,26.88,0.00,29.84,28.00,27.76,26.22,27.65,0.00,0.00,0.00,0.00,30.91,42.24,40.51,47.67,49.69,53.43,54.67,46.06,49.99,52.61,63.82,65.45,66.30,38.84,31.73,31.51,33.95,31.25,31.61,28.86,30.41,31.75,25.25,28.75,0.00,31.08,0.00,0.00,0.00
Manganese,0.00,31.71,36.73,34.27,25.92,0.00,0.00,0.00,27.00,30.85,37.05,47.33,49.55,47.96,45.46,44.93,45.09,50.17,54.23,59.74,66.75,74.29,103.72,106.33,107.43,108.85,107.94,111.74,108.47,100.91,114.12,106.22,107.98,106.98,104.35,109.38,111.72,109.60,109.18,104.76,106.66,107.30,78.88,56.01,45.22,35.63,24.50,0.00,0.00,28.48,32.08,32.07,28.49,29.20,29.24,35.47,47.51,60.31,75.93,74.58,75.71,69.79,65.66,69.10,70.60,69.75,73.02,73.45,80.47,81.40,80.57,80.20,82.15,70.36,56.11,43.90,36.00,32.13,30.45,29.99,30.01,30.65,29.52,29.90,30.55,30.35,30.82,30.83,30.93,30.27,0.00,0.00,0.00,31.60,39.79,52.86,57.79,60.20,59.80,60.31,54.87,60.79,53.92,67.32,61.00,57.52,35.55,27.07,29.08,26.87,27.02,29.05,28.17,26.18,0.00,29.00,0.00,26.00,27.00,0.00,0.00,0.00
